Kunde;KNR;Atera ID;Install.
Casa Salute;00057;87;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=87&integratorLogin=felix.peer%40xivtech.de&customerName=Casa%20Salute&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=87 AccountId=0013z00002XjLmlAAF"
Cherry Computer Gmbh;00069;70;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=70&integratorLogin=felix.peer%40xivtech.de&customerName=Cherry%20Computer%20Gmbh&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=70 AccountId=0013z00002XjLmlAAF"
Emotion Events OHG;00070;103;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=103&integratorLogin=felix.peer%40xivtech.de&customerName=Emotion%20Events%20OHG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=103 AccountId=0013z00002XjLmlAAF"
Oberkofler KG des Gerhard Oberkofler & Co.;00071;146;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=146&integratorLogin=felix.peer%40xivtech.de&customerName=Oberkofler%20KG%20des%20Gerhard%20Oberkofler%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=146 AccountId=0013z00002XjLmlAAF"
Anrather Heizung des Michael Anrather;00076;77;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=77&integratorLogin=felix.peer%40xivtech.de&customerName=Anrather%20Heizung%20des%20Michael%20Anrather&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=77 AccountId=0013z00002XjLmlAAF"
Auto & Motoservice Aldein des Richard Pichler;00078;80;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=80&integratorLogin=felix.peer%40xivtech.de&customerName=Auto%20%26%20Motoservice%20Aldein%20des%20Richard%20Pichler&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=80 AccountId=0013z00002XjLmlAAF"
Markus Reisen des Weissensteiner Markus & Co. KG;00080;135;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=135&integratorLogin=felix.peer%40xivtech.de&customerName=Markus%20Reisen&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=135 AccountId=0013z00002XjLmlAAF"
Eggerhof des Lantschner Nikolaus;00085;99;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=99&integratorLogin=felix.peer%40xivtech.de&customerName=Eggerhof%20des%20Lantschner%20Nikolaus&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=99 AccountId=0013z00002XjLmlAAF"
Rocart S.a.s. des Rossi Franco & Co.;00087;172;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=172&integratorLogin=felix.peer%40xivtech.de&customerName=Rocart%20S.a.s.%20des%20Rossi%20Franco%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=172 AccountId=0013z00002XjLmlAAF"
Rella KG d. Rella Günter & Co.;00096;176;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=176&integratorLogin=felix.peer%40xivtech.de&customerName=Rella%20KG%20d.%20Rella%20G%C3%BCnter%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=176 AccountId=0013z00002XjLmlAAF"
KFZ Peer;00099;126;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=126&integratorLogin=felix.peer%40xivtech.de&customerName=KFZ%20Peer&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=126 AccountId=0013z00002XjLmlAAF"
Studio Morandini S.R.L.;00107;71;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=71&integratorLogin=felix.peer%40xivtech.de&customerName=Studio%20Morandini%20S.R.L.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=71 AccountId=0013z00002XjLmlAAF"
Heinz Moritz;00108;107;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=107&integratorLogin=felix.peer%40xivtech.de&customerName=Heinz%20Moritz&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=107 AccountId=0013z00002XjLmlAAF"
Consulting Team Holzner;00132;89;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=89&integratorLogin=felix.peer%40xivtech.de&customerName=Consulting%20Team%20Holzner%20d.%20Holzner%20Hannes&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=89 AccountId=0013z00002XjLmlAAF"
Metzgerei Codalonga;00141;136;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=136&integratorLogin=felix.peer%40xivtech.de&customerName=Metzgerei%20Codalonga&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=136 AccountId=0013z00002XjLmlAAF"
Akor & Partner srl;00149;74;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=74&integratorLogin=felix.peer%40xivtech.de&customerName=Akor%20%26%20Partner%20srl&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=74 AccountId=0013z00002XjLmlAAF"
Varesco Trading GmbH;00154;142;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=142&integratorLogin=felix.peer%40xivtech.de&customerName=Varesco%20Trading%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=142 AccountId=0013z00002XjLmlAAF"
Autoservice Auer KG;00194;182;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=182&integratorLogin=felix.peer%40xivtech.de&customerName=Autoservice%20Auer%20KG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=182 AccountId=0013z00002XjLmlAAF"
Zimmerei Unterhauser KG des Unterhauser Peter u. Co.;00197;154;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=154&integratorLogin=felix.peer%40xivtech.de&customerName=Zimmerei%20Unterhauser%20KG%20des%20Unterhauser%20Peter%20u.%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=154 AccountId=0013z00002XjLmlAAF"
Paoli Maler des Paoli Joachim;00198;148;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=148&integratorLogin=felix.peer%40xivtech.de&customerName=Paoli%20Maler%20des%20Paoli%20Joachim&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=148 AccountId=0013z00002XjLmlAAF"
Langebner Andreas GmbH;00200;131;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=131&integratorLogin=felix.peer%40xivtech.de&customerName=Langebner%20Andreas%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=131 AccountId=0013z00002XjLmlAAF"
Hotel Mühle Mayer der Wegmann Waltrud;00203;120;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=120&integratorLogin=felix.peer%40xivtech.de&customerName=Hotel%20M%C3%BChle%20Mayer%20der%20Wegmann%20Waltrud&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=120 AccountId=0013z00002XjLmlAAF"
Tischlerei Mur des Mur Reinhold & Co. Kg;00204;160;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=160&integratorLogin=felix.peer%40xivtech.de&customerName=Tischlerei%20Mur%20des%20Mur%20Reinhold%20%26%20Co.%20Kg&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=160 AccountId=0013z00002XjLmlAAF"
Graf & Söhne GmbH;00206;113;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=113&integratorLogin=felix.peer%40xivtech.de&customerName=Graf%20%26%20S%C3%B6hne%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=113 AccountId=0013z00002XjLmlAAF"
NLB | Nuova Lama Bolzano GmbH;00210;145;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=145&integratorLogin=felix.peer%40xivtech.de&customerName=NLB%20%7C%20Nuova%20Lama%20Bolzano%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=145 AccountId=0013z00002XjLmlAAF"
DGL Spenglerei KG des Patrick Lantschner & Co.;00211;93;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=93&integratorLogin=felix.peer%40xivtech.de&customerName=DGL%20Spenglerei%20KG%20des%20Patrick%20Lantschner%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=93 AccountId=0013z00002XjLmlAAF"
Kirnig des Kalser Andreas & Obkircher Josef;00215;129;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=129&integratorLogin=felix.peer%40xivtech.de&customerName=Kirnig%20des%20Kalser%20Andreas%20%26%20Obkircher%20Josef&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=129 AccountId=0013z00002XjLmlAAF"
Eggers KG;00216;100;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=100&integratorLogin=felix.peer%40xivtech.de&customerName=Eggers%20KG%20des%20Gruber%20Erich&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=100 AccountId=0013z00002XjLmlAAF"
Südtiroler Obstbaumuseum;00281;164;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=164&integratorLogin=felix.peer%40xivtech.de&customerName=S%C3%BCdtiroler%20Obstbaumuseum&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=164 AccountId=0013z00002XjLmlAAF"
Pension Klughammer der Pernstich Astrid;00286;151;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=151&integratorLogin=felix.peer%40xivtech.de&customerName=Pension%20Klughammer%20der%20Pernstich%20Astrid&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=151 AccountId=0013z00002XjLmlAAF"
Tischlerei F. Pichler OHG;00287;161;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=161&integratorLogin=felix.peer%40xivtech.de&customerName=Tischlerei%20F.%20Pichler%20OHG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=161 AccountId=0013z00002XjLmlAAF"
Haas Elektroanlagen KG des Haas Markus & Co.;00290;114;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=114&integratorLogin=felix.peer%40xivtech.de&customerName=Haas%20Elektroanlagen%20KG%20des%20Haas%20Markus%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=114 AccountId=0013z00002XjLmlAAF"
Bibliothek Leifers;00294;84;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=84&integratorLogin=felix.peer%40xivtech.de&customerName=Deutsche%20Bibliothek%20Leifers&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=84 AccountId=0013z00002XjLmlAAF"
WP Fine Food GmbH;00295;155;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=155&integratorLogin=felix.peer%40xivtech.de&customerName=WP%20Fine%20Food%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=155 AccountId=0013z00002XjLmlAAF"
Rizzolli OHG;00304;162;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=162&integratorLogin=felix.peer%40xivtech.de&customerName=Rizzolli%20OHG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=162 AccountId=0013z00002XjLmlAAF"
Forti Consult KG;00307;110;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=110&integratorLogin=felix.peer%40xivtech.de&customerName=Forti%20Consult%20KG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=110 AccountId=0013z00002XjLmlAAF"
Mi-Ro des Iori Mike & Co OHG;00316;137;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=137&integratorLogin=felix.peer%40xivtech.de&customerName=Mi-Ro%20des%20Iori%20Mike%20%26%20Co%20OHG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=137 AccountId=0013z00002XjLmlAAF"
Residence Hof am Keller der Maike March;00325;173;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=173&integratorLogin=felix.peer%40xivtech.de&customerName=Residence%20Hof%20am%20Keller%20der%20Maike%20March&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=173 AccountId=0013z00002XjLmlAAF"
Jost Hans Elektromechanik;00327;115;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=115&integratorLogin=felix.peer%40xivtech.de&customerName=Jost%20Hans%20Elektromechanik&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=115 AccountId=0013z00002XjLmlAAF"
Museum Passeier;00328;141;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=141&integratorLogin=felix.peer%40xivtech.de&customerName=Museum%20Passeier&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=141 AccountId=0013z00002XjLmlAAF"
Hotel Trudner Hof der Familie Franzelin;00347;122;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=122&integratorLogin=felix.peer%40xivtech.de&customerName=Hotel%20Trudner%20Hof%20der%20Familie%20Franzelin&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=122 AccountId=0013z00002XjLmlAAF"
Haus Heinrich der Pichler Katya;00349;116;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=116&integratorLogin=felix.peer%40xivtech.de&customerName=Haus%20Heinrich%20der%20Pichler%20Katya&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=116 AccountId=0013z00002XjLmlAAF"
Flam srl;00358;108;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=108&integratorLogin=felix.peer%40xivtech.de&customerName=Flam%20srl&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=108 AccountId=0013z00002XjLmlAAF"
Giovanelli Fabio Architekt;00360;111;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=111&integratorLogin=felix.peer%40xivtech.de&customerName=Giovanelli%20Fabio%20Architekt&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=111 AccountId=0013z00002XjLmlAAF"
Alps Coliseum;00368;76;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=76&integratorLogin=felix.peer%40xivtech.de&customerName=Alps%20Coliseum%20S.S.D.%20A%20R.L.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=76 AccountId=0013z00002XjLmlAAF"
Baron Longo;00369;82;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=82&integratorLogin=felix.peer%40xivtech.de&customerName=Baron%20Longo&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=82 AccountId=0013z00002XjLmlAAF"
Steiner Franz - Technisches Büro;00384;165;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=165&integratorLogin=felix.peer%40xivtech.de&customerName=Steiner%20Franz%20-%20Technisches%20B%C3%BCro&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=165 AccountId=0013z00002XjLmlAAF"
Dr. Marco Mariotti;00431;96;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=96&integratorLogin=felix.peer%40xivtech.de&customerName=Dr.%20Marco%20Mariotti&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=96 AccountId=0013z00002XjLmlAAF"
Dr. Ing. Georg Kofler;00434;95;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=95&integratorLogin=felix.peer%40xivtech.de&customerName=Dr.%20Ing.%20Georg%20Kofler&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=95 AccountId=0013z00002XjLmlAAF"
Autoservice Daldoss Werner;00446;81;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=81&integratorLogin=felix.peer%40xivtech.de&customerName=Autoservice%20Daldoss%20des%20Daldoss%20Werner&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=81 AccountId=0013z00002XjLmlAAF"
Peerbau KG;00462;149;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=149&integratorLogin=felix.peer%40xivtech.de&customerName=Peerbau%20KG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=149 AccountId=0013z00002XjLmlAAF"
Elsler GmbH;00469;102;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=102&integratorLogin=felix.peer%40xivtech.de&customerName=Elsler%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=102 AccountId=0013z00002XjLmlAAF"
Lignotec;00490;133;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=133&integratorLogin=felix.peer%40xivtech.de&customerName=Lignotec%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=133 AccountId=0013z00002XjLmlAAF"
Ilec Gmbh;00500;125;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=125&integratorLogin=felix.peer%40xivtech.de&customerName=Ilec%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=125 AccountId=0013z00002XjLmlAAF"
Pension Garni Erika der Fam. Bazzolo;00511;150;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=150&integratorLogin=felix.peer%40xivtech.de&customerName=Pension%20Garni%20Erika%20der%20Fam.%20Bazzolo&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=150 AccountId=0013z00002XjLmlAAF"
Est International srl;00524;202;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=202&integratorLogin=felix.peer%40xivtech.de&customerName=Est%20International%20srl&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=202 AccountId=0013z00002XjLmlAAF"
Dr. Michael Simonazzi;00533;94;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=94&integratorLogin=felix.peer%40xivtech.de&customerName=Dr.%20Michael%20Simonazzi&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=94 AccountId=0013z00002XjLmlAAF"
Hotel Tirolerhof OHG des Holznecht Michael & Barbara;00555;121;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=121&integratorLogin=felix.peer%40xivtech.de&customerName=Hotel%20Tirolerhof%20OHG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=121 AccountId=0013z00002XjLmlAAF"
